"","Date","Time","Type","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","colony","leachate","species","note"
"1","24-08-17",21:46:59,"FO",196,549,0.643,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.",NA
"2","24-08-17",21:47:23,"FO",116,352,0.67,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.",NA
"3","24-08-17",21:47:49,"FO",128,371,0.655,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.",NA
"4","24-08-17",21:48:11,"FO",70,218,0.679,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.",NA
"5","24-08-17",21:48:30,"FO",115,344,0.666,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.",NA
"6","24-08-17",21:49:12,"FO",116,387,0.7,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.",NA
"7","24-08-17",21:49:30,"FO",84,307,0.726,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.",NA
"8","24-08-17",21:49:53,"FO",91,249,0.635,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.",NA
"9","24-08-17",21:50:23,"FO",117,353,0.669,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.",NA
"10","24-08-17",21:50:41,"FO",69,218,0.683,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.",NA
"11","24-08-17",21:51:14,"FO",177,517,0.658,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.",NA
"12","24-08-17",21:51:33,"FO",61,211,0.711,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.",NA
"13","24-08-17",21:51:53,"FO",127,407,0.688,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.",NA
"14","24-08-17",21:52:09,"FO",74,248,0.702,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.",NA
"15","24-08-17",21:52:31,"FO",103,320,0.678,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.",NA
"16","24-08-17",21:54:01,"FO",91,269,0.662,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.",NA
"17","24-08-17",21:54:20,"FO",79,267,0.704,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.",NA
"18","24-08-17",21:54:43,"FO",273,767,0.644,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.",NA
"19","24-08-17",21:55:10,"FO",120,360,0.667,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.",NA
"20","24-08-17",21:55:28,"FO",106,254,0.583,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.",NA
"21","24-08-17",21:55:55,"FO",78,241,0.676,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.",NA
"22","24-08-17",21:56:12,"FO",189,560,0.663,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.",NA
"23","24-08-17",21:56:26,"FO",275,763,0.64,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.",NA
"24","24-08-17",21:56:45,"FO",186,537,0.654,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.",NA
"25","24-08-17",21:57:06,"FO",174,531,0.672,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.",NA
"26","24-08-17",21:57:38,"FO",72,213,0.662,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.",NA
"27","24-08-17",21:57:55,"FO",136,430,0.684,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.",NA
"28","24-08-17",21:58:10,"FO",101,316,0.68,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.",NA
"29","24-08-17",21:58:25,"FO",108,331,0.674,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.",NA
"30","24-08-17",21:58:41,"FO",101,324,0.688,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.",NA
"31","24-08-17",22:01:38,"FO",108,291,0.629,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.",NA
"32","24-08-17",22:01:57,"FO",142,369,0.615,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.",NA
"33","24-08-17",22:02:15,"FO",103,289,0.644,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.",NA
"34","24-08-17",22:02:34,"FO",100,245,0.592,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.",NA
"35","24-08-17",22:02:54,"FO",201,539,0.627,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.",NA
"36","24-08-17",22:03:37,"FO",123,358,0.656,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.",NA
"37","24-08-17",22:03:50,"FO",106,331,0.68,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.",NA
"38","24-08-17",22:04:05,"FO",242,755,0.679,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.",NA
"39","24-08-17",22:04:25,"FO",113,352,0.679,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.",NA
"40","24-08-17",22:04:43,"FO",144,431,0.666,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.",NA
"41","24-08-17",22:05:19,"FO",96,306,0.686,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.",NA
"42","24-08-17",22:05:33,"FO",133,414,0.679,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.",NA
"43","24-08-17",22:05:52,"FO",110,337,0.674,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.",NA
"44","24-08-17",22:06:09,"FO",110,311,0.646,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.",NA
"45","24-08-17",22:06:29,"FO",83,241,0.656,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.",NA
"46","24-08-17",22:07:32,"FO",94,297,0.684,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.",NA
"47","24-08-17",22:07:51,"FO",68,205,0.668,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.",NA
"48","24-08-17",22:08:12,"FO",107,339,0.684,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.",NA
"49","24-08-17",22:08:40,"FO",106,296,0.642,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.",NA
"50","24-08-17",22:09:01,"FO",233,696,0.665,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.",NA
"51","24-08-17",22:09:33,"FO",24,87,0.724,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.",NA
"52","24-08-17",22:09:52,"FO",227,663,0.658,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.",NA
"53","24-08-17",22:10:14,"FO",437,1213,0.64,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.",NA
"54","24-08-17",22:10:38,"FO",248,741,0.665,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.",NA
"55","24-08-17",22:10:56,"FO",283,817,0.654,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.",NA
"56","24-08-17",22:11:55,"FO",229,692,0.669,"H7.2C","hot",7,"control","Montipora capitata x Symbiodinium spp.",NA
"57","24-08-17",22:12:44,"FO",189,538,0.649,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.",NA
"58","24-08-17",22:13:04,"FO",174,553,0.685,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.",NA
"59","24-08-17",22:13:25,"FO",77,222,0.653,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.",NA
"60","24-08-17",22:13:42,"FO",112,343,0.673,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.",NA
